藏,子分类,书名,档位,页数,题材,朝代
佛藏,乾隆藏,一百五十赞佛颂,艺术文学,4,诗,隋唐
佛藏,乾隆藏,七佛赞呗伽陀,艺术文学,1,诗,隋唐
佛藏,乾隆藏,三身梵赞,艺术文学,1,诗,隋唐
佛藏,乾隆藏,中本起经,故事性,2,佛教故事,魏晋南北朝
佛藏,乾隆藏,五母子经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,付法藏因缘经,故事性,2,佛教故事,魏晋南北朝
佛藏,乾隆藏,众经撰杂譬喻经,故事性,2,佛教故事,魏晋南北朝
佛藏,乾隆藏,众许摩诃帝经,故事性,5,佛教故事,宋
佛藏,乾隆藏,传法正宗记,故事性,8,佛教故事,宋
佛藏,乾隆藏,佛一百八名赞经,艺术文学,1,诗,隋唐
佛藏,乾隆藏,佛三身赞,艺术文学,1,诗,隋唐
佛藏,乾隆藏,佛五百弟子自说本起经,故事性,11,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛入涅槃密迹金刚力士哀恋经,故事性,1,佛教故事,隋唐
佛藏,乾隆藏,佛吉祥德赞,艺术文学,7,诗,宋
佛藏,乾隆藏,佛所行赞经,故事性,47,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛本行经,故事性,53,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛本行集经,故事性,59,佛教故事,隋唐
佛藏,乾隆藏,佛母般泥洹经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛灭度后棺敛葬送经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛祖历代通载,故事性,23,佛教故事,元
佛藏,乾隆藏,佛般泥洹经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说一切如来说佛顶轮王一百八名赞经,艺术文学,1,诗,隋唐
佛藏,乾隆藏,佛说一切智光明仙人慈心因缘不食肉经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说七女经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说三摩竭经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说九色鹿经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说乳光佛经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说五无返复经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说五王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说优填王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说佛大僧大经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说光明童子因缘经,故事性,1,佛教故事,宋
佛藏,乾隆藏,佛说兜调经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说兴起行经,故事性,3,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说净饭王般涅槃经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说前世三转经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说力士移山经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说呵雕阿那含经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说善乐长者经,故事性,1,佛教故事,宋
佛藏,乾隆藏,佛说因缘僧护经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说国王不黎先尼十梦经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说圣观自在菩萨梵赞,艺术文学,1,诗,宋
佛藏,乾隆藏,佛说大坚固婆罗门缘起经,故事性,2,佛教故事,宋
佛藏,乾隆藏,佛说大意经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说大自在天子因地经,故事性,1,佛教故事,宋
佛藏,乾隆藏,佛说大迦叶本经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说大鱼事经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说太子沐魄经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说奈女耆域因缘经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说奈女耆婆经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说妇人遇辜经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说妙色王因缘经,故事性,1,佛教故事,隋唐
佛藏,乾隆藏,佛说婆罗门子命终爱念不离经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说婆罗门避死经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说差摩婆帝授记经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说师子月佛本生经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说弊魔试目连经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说弟子死复生经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说息诤因缘经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说懈怠耕者经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说摩诃迦叶度贫母经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说摩达国王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说放牛经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说文陀竭王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说旃陀越国王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说无垢贤女经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说普达王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说月光童子经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说月明菩萨经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说末罗王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说树提伽经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说梵志阿颰经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说梵摩难国王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说沙曷比丘功德经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说波斯匿王太后崩尘土坌身经,故事性,1,佛教故事,魏晋南北朝
